e1/do,e2/do,fu/fy,fmx/fndt,type
3.02,5.03,1.307018,2.841992,TO
5.01,5.03,1.307018,3.836275,TO
2.52,5.01,1.307018,2.725992,SP
5.02,5.02,1.307018,4.093131,TO
1.53,6.68,1.307018,2.543707,SP
3.01,6.69,1.307018,3.314276,TO
4.01,6.68,1.307018,3.865275,TO
5.01,6.68,1.307018,3.910846,TO
3.04,6.7,1.307018,3.811418,TO
0.84,6.69,1.192429,1.577585,TO
1.31,6.68,1.192429,1.866941,TO
1.75,6.68,1.149927,2.076671,TO
2.2,6.68,1.149927,2.287625,TO
0.89,6.67,1.223388,1.640304,TO
1.13,6.67,1.234139,1.719053,TO
1.36,6.67,1.23298,1.785047,TO
1.73,6.68,1.149927,1.944817,TO
2.2,6.67,1.23298,2.057691,TO
0.85,6.68,1.209192,1.563127,TO
1.29,6.68,1.209192,1.713299,TO
1.77,6.68,1.209192,1.825919,TO
2.2,6.68,1.190625,1.958179,TO
3.62,0.87,1.223388,0.419118,N
3.6,1.08,1.223388,0.493584,N
3.56,1.78,1.23298,0.752998,N
3.56,2.22,1.23298,0.910628,N
3.61,0.88,1.223388,0.693565,N
3.56,1.11,1.23298,0.778563,N
3.61,1.77,1.223388,1.05312,N
3.6,2.2,1.223383,1.217999,N
3.57,0.85,1.223388,0.869085,N
3.56,1.11,1.23298,0.955363,N
3.61,1.77,1.223388,1.232892,N
3.59,2.23,1.223388,1.402034,N
1.33,5.04,1.234139,1.884793,TO
1.07,3.33,1.234139,1.726487,TO
2.22,3.37,1.234139,2.124908,TO
1.76,0.88,1.19462,0.455286,N
1.75,1.32,1.19462,0.567951,N
1.76,1.8,1.19462,0.689822,N
1.76,2.68,1.19462,0.898301,N
2.2,1.33,1.232026,0.948609,N
1.32,1.32,1.192429,1.436374,N
1.75,0.91,1.184783,0.474396,N
1.76,1.35,1.171946,0.563043,N
1.76,1.77,1.172205,0.636479,N
1.76,2.69,1.168925,0.801944,N
3.54,3.58,1.168925,0.958751,N
1.3,1.33,1.149927,0.975703,N
0.98,7.51,1.597173,1.693828,TO
1.46,7.51,1.597173,1.98187,TO
1.95,7.52,1.597173,2.206523,TO
2.48,7.52,1.597173,2.425478,TO
1,7.5,1.597173,1.651568,TO
1.25,7.5,1.589474,1.713066,TO
1.5,7.5,1.701107,1.800078,TO
1.98,7.53,1.597173,2.02411,TO
2.53,7.5,1.701107,2.101332,TO
1.01,7.54,1.597173,1.636196,TO
1.46,7.53,1.597173,1.762945,TO
1.96,7.54,1.597173,1.930025,TO
2.44,7.54,1.597173,2.125892,TO
4.03,0.99,1.597173,0.401368,N
4.05,1.24,1.597173,0.48011,N
4,2,1.701107,0.726813,N
4,2.5,1.701107,0.886848,N
4.06,1.03,1.597173,0.658704,N
4,1.25,1.701107,0.747511,N
4.04,1.99,1.597173,0.994764,N
4.03,2.48,1.597173,1.158005,N
4.03,1.25,1.701107,0.900039,N
4.04,2.04,1.597173,1.150329,N
4.03,2.47,1.597173,1.303955,N
1.5,5.64,1.589474,1.866354,TO
1.5,1.5,1.589474,1.898926,TO
2.49,2.49,1.589474,2.14995,N
2.47,2.47,1.597173,1.709161,N
1.98,1.98,1.597173,0.441694,N
1.95,1.95,1.597173,0.563316,N
1.96,1.96,1.597173,0.691348,N
1.98,1.98,1.597173,0.870582,N
2.48,2.48,1.597173,0.901314,N
1.47,1.47,1.597173,1.437419,N
1.96,1.96,1.597173,0.470504,N
1.94,1.94,1.597173,0.552115,N
1.97,1.97,1.59715,0.627978,N
1.97,1.97,1.597173,0.766242,N
1.46,1.46,1.597173,0.967885,N
2.45,2.45,1.597173,0.956361,N
0.98,7.52,1.261319,1.695004,TO
1.56,7.49,1.232,2.084111,TO
2,7.51,1.246521,2.213653,TO
2.54,7.49,1.256674,2.536013,TO
1,7.5,1.301653,1.686458,TO
1.27,7.5,1.317982,1.773605,TO
1.5,7.5,1.34188,1.838324,TO
2.02,7.51,1.263265,2.08944,TO
2.47,7.5,1.34188,2.156241,TO
1.06,7.5,1.255102,1.72546,TO
1.5,7.52,1.256148,1.894637,TO
2.04,7.51,1.251497,2.014327,TO
2.48,7.52,1.258197,2.188448,TO
4.03,0.97,1.301653,0.406461,N
4.03,1.2,1.301653,0.472594,N
4,2,1.34188,0.736709,N
4,2.5,1.34188,0.901193,N
4.04,1,1.301653,0.665484,N
4,1.25,1.34188,0.774032,N
